epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.849,3.51935,4.21355,4.13832,0.00119,0.2,0.00074,0.0002,3.47558,3.99249,4.0899,0.000648649,0.000648649,0.000648649
2,29.3003,3.01864,3.52464,3.70692,0.00268,0.48182,0.00247,0.0007,2.99415,3.88583,3.70184,0.00130229,0.00130229,0.00130229
3,42.7475,2.90065,3.00766,3.36475,0.17907,0.12727,0.07664,0.02207,2.43586,3.55601,3.42481,0.00194274,0.00194274,0.00194274
4,56.6088,2.70533,2.72561,3.16719,0.3758,0.3,0.22502,0.07863,2.32128,2.51189,3.04039,0.0019406,0.0019406,0.0019406
5,70.3193,2.6619,2.59707,3.09274,0.67758,0.44091,0.44412,0.16422,2.21911,2.16098,2.89508,0.0019208,0.0019208,0.0019208
6,83.9158,2.54302,2.36768,2.9489,0.41346,0.39731,0.26365,0.10036,2.11559,2.50981,2.83528,0.001901,0.001901,0.001901
7,97.5362,2.52311,2.38908,2.93168,0.61177,0.42727,0.40252,0.1239,2.36557,2.95157,3.12918,0.0018812,0.0018812,0.0018812
8,111.066,2.43417,2.24463,2.87182,0.63192,0.40455,0.42783,0.18473,2.08148,2.09644,2.73918,0.0018614,0.0018614,0.0018614
9,124.587,2.39275,2.16371,2.8321,0.67229,0.46364,0.47025,0.19743,1.97685,1.94088,2.68209,0.0018416,0.0018416,0.0018416
10,138.097,2.41191,2.1135,2.82632,0.85994,0.45909,0.50393,0.21342,2.12709,1.93673,2.68882,0.0018218,0.0018218,0.0018218
11,151.724,2.31154,2.05135,2.76426,0.73679,0.45,0.48434,0.204,2.01597,1.88008,2.65305,0.001802,0.001802,0.001802
12,165.303,2.35441,2.05646,2.80153,0.68681,0.45852,0.46635,0.16913,2.13629,1.88829,2.75303,0.0017822,0.0017822,0.0017822
13,178.795,2.23949,1.89468,2.69559,0.79327,0.49091,0.52357,0.25006,2.03197,1.80268,2.6912,0.0017624,0.0017624,0.0017624
14,192.384,2.2622,1.87768,2.70429,0.87806,0.45822,0.53877,0.24852,1.92997,1.74885,2.58234,0.0017426,0.0017426,0.0017426
15,205.965,2.19431,1.87666,2.67315,0.44325,0.35455,0.33684,0.12298,2.07699,2.15626,2.75648,0.0017228,0.0017228,0.0017228
16,219.421,2.21555,1.79534,2.66274,0.78243,0.47273,0.5424,0.21997,2.03966,1.72016,2.70853,0.001703,0.001703,0.001703
17,232.758,2.12743,1.77802,2.63777,0.7467,0.45455,0.49545,0.22259,1.95223,1.81165,2.6271,0.0016832,0.0016832,0.0016832
18,246.181,2.13704,1.78625,2.61866,0.89631,0.47152,0.53448,0.25475,1.95171,1.75516,2.59731,0.0016634,0.0016634,0.0016634
19,259.63,2.04675,1.63237,2.55097,0.90005,0.49091,0.54578,0.26518,1.97529,1.61588,2.58835,0.0016436,0.0016436,0.0016436
