epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.12956,3.46717,4.14405,4.13949,0.00105,0.17727,0.00079,0.00019,3.50415,4.01773,4.12268,0.000648649,0.000648649,0.000648649
2,14.4267,3.00965,3.50378,3.67327,0.00064,0.10455,0.00042,0.00015,3.63621,4.25722,4.24107,0.0013088,0.0013088,0.0013088
3,20.6994,2.87347,3.01462,3.38858,0.10804,0.11364,0.05441,0.01534,2.46754,3.67101,3.30427,0.00196236,0.00196236,0.00196236
4,26.9012,2.80044,2.74845,3.23085,0.55646,0.422,0.36965,0.12496,2.35743,2.1283,3.05082,0.0019703,0.0019703,0.0019703
5,33.144,2.65183,2.54368,3.09692,0.49852,0.45,0.36531,0.14268,2.34103,2.30598,2.95008,0.0019604,0.0019604,0.0019604
6,39.3646,2.67525,2.43396,3.03838,0.45793,0.31818,0.28446,0.0734,2.5552,2.27396,3.12285,0.0019505,0.0019505,0.0019505
7,45.619,2.57632,2.33991,2.92705,0.61545,0.43649,0.40556,0.15504,2.27412,2.11001,2.78348,0.0019406,0.0019406,0.0019406
8,51.8508,2.52063,2.27498,2.91114,0.71641,0.44545,0.46798,0.1984,2.07932,1.96283,2.70936,0.0019307,0.0019307,0.0019307
9,58.3103,2.45391,2.12317,2.85153,0.65121,0.45828,0.41525,0.184,2.08425,2.0757,2.73522,0.0019208,0.0019208,0.0019208
10,64.5286,2.33854,2.07943,2.81647,0.70009,0.44091,0.45253,0.15857,2.15231,1.99386,2.81744,0.0019109,0.0019109,0.0019109
11,70.823,2.4123,2.13287,2.8083,0.67591,0.47727,0.50127,0.21822,2.04191,1.85177,2.61385,0.001901,0.001901,0.001901
12,77.1373,2.30348,1.95304,2.7472,0.68358,0.45172,0.46016,0.1674,2.11454,1.96445,2.72983,0.0018911,0.0018911,0.0018911
13,83.4872,2.27639,1.93458,2.74552,0.70466,0.47273,0.49332,0.22888,1.99597,1.72989,2.64358,0.0018812,0.0018812,0.0018812
14,89.8045,2.22715,1.83996,2.68791,0.7827,0.44207,0.49253,0.23466,2.00376,1.89227,2.62353,0.0018713,0.0018713,0.0018713
15,96.3716,2.1977,1.86111,2.65737,0.64597,0.45616,0.46278,0.2303,2.02377,1.731,2.65656,0.0018614,0.0018614,0.0018614
16,103.135,2.25585,1.87061,2.68388,0.74405,0.4757,0.49536,0.23954,1.82398,1.83216,2.5017,0.0018515,0.0018515,0.0018515
17,110.027,2.14961,1.76719,2.6567,0.89576,0.5,0.54337,0.25424,2.01633,1.67069,2.57825,0.0018416,0.0018416,0.0018416
18,116.339,2.11633,1.76464,2.60875,0.86235,0.48411,0.52213,0.27672,1.84839,1.62591,2.47614,0.0018317,0.0018317,0.0018317
19,122.648,2.08177,1.69325,2.54636,0.95105,0.45909,0.55975,0.28368,1.86096,1.49809,2.44065,0.0018218,0.0018218,0.0018218
20,128.952,2.07843,1.69138,2.54423,0.82704,0.49091,0.52744,0.29094,1.81244,1.68756,2.46854,0.0018119,0.0018119,0.0018119
21,135.244,2.08417,1.65212,2.52228,0.92559,0.46818,0.51668,0.22335,2.08409,1.61921,2.56954,0.001802,0.001802,0.001802
22,141.543,2.07653,1.64903,2.52625,0.90278,0.48182,0.56735,0.27376,1.84804,1.46987,2.45179,0.0017921,0.0017921,0.0017921
23,147.86,1.99299,1.55187,2.49037,0.95448,0.47273,0.57159,0.27755,1.86584,1.47458,2.46934,0.0017822,0.0017822,0.0017822
24,154.161,1.95394,1.53904,2.45496,0.80255,0.5,0.56457,0.28781,1.8088,1.49019,2.41452,0.0017723,0.0017723,0.0017723
25,160.493,1.95484,1.54609,2.47461,0.8391,0.48182,0.55583,0.29202,1.81845,1.50544,2.4878,0.0017624,0.0017624,0.0017624
26,167.029,1.95982,1.53045,2.44915,0.93969,0.49573,0.59017,0.30692,1.81598,1.38003,2.37703,0.0017525,0.0017525,0.0017525
27,173.41,1.95402,1.52066,2.44609,0.89473,0.45909,0.54346,0.27828,1.75782,1.53563,2.42701,0.0017426,0.0017426,0.0017426
28,179.732,1.92351,1.4905,2.4199,0.97016,0.5,0.5733,0.26797,1.93242,1.55376,2.48585,0.0017327,0.0017327,0.0017327
29,186.071,1.91271,1.50254,2.41777,0.92966,0.48636,0.55042,0.21279,2.22303,1.54294,2.86204,0.0017228,0.0017228,0.0017228
30,192.704,1.94339,1.56331,2.43117,0.78797,0.50909,0.57685,0.30293,1.76881,1.41999,2.35259,0.0017129,0.0017129,0.0017129
31,199.328,1.93111,1.52468,2.41745,0.91522,0.4907,0.53542,0.31583,1.74018,1.54623,2.32959,0.001703,0.001703,0.001703
32,205.775,1.90113,1.49903,2.35681,0.88839,0.50655,0.57699,0.31512,1.69012,1.33193,2.31079,0.0016931,0.0016931,0.0016931
33,212.47,1.81118,1.42125,2.33687,0.93949,0.49402,0.5955,0.33614,1.6425,1.34693,2.27022,0.0016832,0.0016832,0.0016832
34,218.908,1.8996,1.4647,2.38622,0.92264,0.48788,0.59899,0.342,1.63623,1.41834,2.29572,0.0016733,0.0016733,0.0016733
35,225.35,1.78049,1.43077,2.32729,0.97715,0.51364,0.60912,0.33373,1.70137,1.30729,2.36039,0.0016634,0.0016634,0.0016634
36,231.756,1.82993,1.40597,2.31154,0.9643,0.49109,0.61836,0.30452,1.76346,1.42194,2.4024,0.0016535,0.0016535,0.0016535
37,238.149,1.86165,1.48721,2.37556,0.94773,0.4945,0.57686,0.34302,1.64268,1.39878,2.27707,0.0016436,0.0016436,0.0016436
38,244.516,1.77859,1.3594,2.31263,0.92759,0.52408,0.63293,0.37941,1.5873,1.21531,2.22734,0.0016337,0.0016337,0.0016337
39,250.96,1.76282,1.38616,2.26018,0.96245,0.50455,0.58123,0.3392,1.59704,1.34933,2.20224,0.0016238,0.0016238,0.0016238
40,257.3,1.74675,1.34859,2.25257,0.95013,0.49091,0.6006,0.33125,1.68699,1.31612,2.27397,0.0016139,0.0016139,0.0016139
41,263.999,1.80123,1.40729,2.32696,0.92866,0.53636,0.62934,0.35721,1.67782,1.32399,2.32453,0.001604,0.001604,0.001604
42,270.412,1.72792,1.36535,2.28273,0.97611,0.50909,0.62761,0.37472,1.52508,1.22608,2.12891,0.0015941,0.0015941,0.0015941
43,276.847,1.69714,1.35155,2.23096,0.98427,0.5,0.61123,0.36138,1.55537,1.27793,2.16682,0.0015842,0.0015842,0.0015842
44,283.235,1.70405,1.30018,2.21993,0.91402,0.53182,0.61958,0.33259,1.67905,1.31508,2.26569,0.0015743,0.0015743,0.0015743
45,289.602,1.74156,1.35998,2.24979,0.91921,0.53182,0.60534,0.35012,1.65722,1.25591,2.25758,0.0015644,0.0015644,0.0015644
46,296.027,1.71315,1.3609,2.25056,0.9783,0.53182,0.59795,0.34516,1.61266,1.32481,2.21194,0.0015545,0.0015545,0.0015545
47,302.503,1.70309,1.28183,2.24642,0.8921,0.53182,0.61373,0.30808,1.72039,1.31493,2.37926,0.0015446,0.0015446,0.0015446
48,308.919,1.6668,1.30676,2.21353,0.88216,0.52727,0.59371,0.3607,1.54709,1.34368,2.20358,0.0015347,0.0015347,0.0015347
49,315.571,1.68002,1.33205,2.22116,0.93627,0.53424,0.62428,0.37577,1.56356,1.16301,2.19369,0.0015248,0.0015248,0.0015248
50,321.985,1.68129,1.32418,2.20981,0.92051,0.53636,0.63106,0.38927,1.49137,1.21576,2.14011,0.0015149,0.0015149,0.0015149
51,328.478,1.64115,1.3086,2.16393,0.85906,0.52641,0.58957,0.3455,1.67507,1.31783,2.24984,0.001505,0.001505,0.001505
