epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5855,4.26682,4.12049,4.18321,0.00167,0.15789,0.00128,0.00021,4.6781,4.11176,4.16484,0.00062,0.00062,0.00062
2,20.5452,3.72785,3.76048,3.81706,0.00167,0.15789,0.00175,0.00045,4.76878,4.23678,4.23863,0.00124753,0.00124753,0.00124753
3,29.5567,3.25819,3.42396,3.41171,0.00111,0.10526,0.01907,0.00204,3.75932,3.84629,3.77733,0.00186238,0.00186238,0.00186238
4,38.6205,3.03671,3.20861,3.17021,0.16341,0.10526,0.10923,0.03531,2.90666,3.15112,3.12097,0.0019406,0.0019406,0.0019406
5,47.4283,2.86978,3.03156,3.00339,0.11854,0.21053,0.07056,0.02575,2.8045,3.57554,2.83992,0.0019208,0.0019208,0.0019208
6,56.0438,2.78242,2.86485,2.86382,0.38102,0.36842,0.24978,0.0647,2.86571,2.83042,2.7792,0.001901,0.001901,0.001901
7,64.9234,2.73651,2.7347,2.82042,0.46452,0.36545,0.26092,0.08097,2.67932,3.71299,2.75452,0.0018812,0.0018812,0.0018812
8,73.8554,2.69107,2.66545,2.75551,0.24526,0.52632,0.23996,0.08735,2.46361,2.45166,2.55677,0.0018614,0.0018614,0.0018614
9,82.6435,2.6504,2.53485,2.67216,0.43027,0.35827,0.37741,0.13372,2.44039,2.31244,2.50543,0.0018416,0.0018416,0.0018416
10,91.4693,2.57429,2.46042,2.6136,0.35101,0.36842,0.29366,0.11658,2.44227,2.42263,2.60308,0.0018218,0.0018218,0.0018218
11,100.246,2.55031,2.3627,2.57872,0.27824,0.31579,0.23543,0.07467,2.91194,2.50396,2.78479,0.001802,0.001802,0.001802
12,109.203,2.4977,2.34886,2.52897,0.41355,0.31579,0.37646,0.13843,2.42727,1.97774,2.48703,0.0017822,0.0017822,0.0017822
13,117.959,2.44848,2.23393,2.48556,0.27641,0.24203,0.27561,0.10534,2.64878,2.20145,2.62484,0.0017624,0.0017624,0.0017624
14,127.065,2.43354,2.23154,2.49418,0.38072,0.31579,0.42944,0.12555,2.5511,2.11603,2.58236,0.0017426,0.0017426,0.0017426
15,135.745,2.38268,2.13465,2.43729,0.38924,0.42105,0.40175,0.11868,2.56741,2.12135,2.53266,0.0017228,0.0017228,0.0017228
16,144.591,2.38926,2.16909,2.46803,0.34538,0.57895,0.41021,0.15932,2.52062,2.16325,2.53196,0.001703,0.001703,0.001703
17,153.27,2.32263,2.12217,2.40927,0.39118,0.52632,0.39608,0.16279,2.42848,1.78677,2.63102,0.0016832,0.0016832,0.0016832
